id;label;parent_id
0;NKF Produkte;
1;Zentrale Verwaltung;0
2;Schule und Kultur;0
3;Soziales und Jugend;0
4;Gesundheit und Sportförderung;0
5;Gestaltung der Umwelt;0
6;Zentrale Finanzleistungen;0
11;Innere Verwaltung;1
12;Sicherheit und Ordnung;1
21;Schulträgeraufgaben;2
25;Kultur und Wissenschaft;2
31;Soziale Leistungen;3
36;Kinder-, Jugend- und Familienhilfe;3
41;Gesundheitsdienste;4
42;Sportförderung;4
51;Räumliche Planung und Entwicklung, Geoinformationen;5
52;Bauen und Wohnen;5
53;Ver- und Entsorgung;5
54;Verkehrsflächen und -anlagen, ÖPNV;5
55;Natur- und Landschaftspflege;5
56;Umweltschutz;5
57;Wirtschaft und Tourismus;5
61;Allgemeine Finanzwirtschaft;6
111;Verwaltungssteuerung und Service;11
121;Statistik und Wahlen;12
122;Ordnungsangelegenheiten;12
126;Brandschutz;12
127;Rettungsdienst;12
128;Großschadensereignisse, Katastrophenschutz;12
211;Grundschulen;21
212;Hauptschulen;21
215;Realschulen;21
216;Sekundarschulen;21
217;Gymnasien;21
218;Gesamtschulen;21
221;Förderschulen;21
231;Berufskollegs;21
241;Schülerbeförderung;21
242;Fördermaßnahmen für Schüler;21
243;Sonstige schulische Aufgaben;21
251;Wissenschaft und Forschung;25
252;Museen, Sammlungen, Ausstellungen;25
253;Zoologische und Botanische Gärten;25
261;Theater;25
262;Musikpflege (ohne Musikschulen);25
263;Musikschulen;25
271;Volkshochschulen;25
272;Büchereien;25
273;Sonstige Volksbildung;25
281;Heimat- und sonstige Kunstpflege;25
291;Kirchengemeinden, Religionsgemeinschaften;25
311;Grundversorgung u. Leistungen (SGB XII);31
312;Grundsicherungsleistungen (SGB II);31
313;Leistungen für Asylbewerber (AsylbLG);31
315;Soziale Einrichtungen;31
321;Leistungen nach dem BVG;31
322;Leistungen f. Schwerbehinderte (SGB IX);31
323;Leistungen n. soz. Entschäd.recht einschl. KOF;31
324;Sonstige Leistungen der Kriegsopferfürsorge;31
325;Leistungen n. BergmVersG;31
331;Förderung von anderen Trägern der Wohlfahrtspflege;31
341;Unterhaltsvorschussleistungen;31
343;Betreuungsleistungen;31
344;Leistungen für Heimkehrer und politische Häftlinge;31
351;Sonstige soziale Leistungen;31
361;Förderung v. Kindern (Tageseinr./-pflege);36
362;Jugendarbeit;36
363;So. Leistungen: Förderung junger Menschen u. Fam.;36
365;Tageseinrichtungen für Kinder;36
366;Einrichtungen der Jugendarbeit;36
367;So. Einricht: Förderung junger Menschen und Fam.;36
368;Leistungen n. BEEG;36
411;Krankenhäuser;41
412;Gesundheitseinrichtungen;41
414;Gesundheitsschutz und -pflege;41
418;Kur- und Badeeinrichtungen;41
421;Förderung des Sports;42
424;Sportstätten und Bäder;42
511;Räuml. Planung u. Entwicklung, Geoinformationen;51
521;Bau- und Grundstücksordnung;52
522;Wohnungsbauförderung;52
523;Denkmalschutz und -pflege;52
531;Elektrizitätsversorgung;53
532;Gasversorgung;53
533;Wasserversorgung;53
534;Fernwärmeversorgung;53
537;Abfallwirtschaft;53
538;Abwasserbeseitigung;53
541;Gemeindestraßen;54
542;Kreisstraßen;54
543;Landesstraßen;54
544;Bundesstraßen;54
545;Straßenreinigung;54
546;Parkeinrichtungen;54
547;Öffentlicher Personennahverkehr (ÖPNV);54
548;Sonstiger Personen- und Güterverkehr;54
549;Häfen;54
551;Öffentliches Grün, Landschaftsbau;55
552;Öffentliche Gewässer, wasserbauliche Anlagen;55
553;Friedhofs- und Bestattungswesen;55
554;Naturschutz und Landschaftspflege;55
555;Land- und Forstwirtschaft;55
561;Umweltschutzmaßnahmen;56
562;Immissionsschutz;56
571;Wirtschaftsförderung;57
573;Allgemeine Einrichtungen und Unternehmen;57
575;Tourismus;57
611;Steuern, allg. Zuweisungen u. allg. Umlagen;61
612;Sonstige allgemeine Finanzwirtschaft;61
